title;x-apisguru-categories;openapiVer;swaggerUrl
GalleryManagementClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Gallery/2015-04-01/swagger.json
GalleryManagementClient1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-GalleryItem/2015-04-01/swagger.json
InfrastructureInsightsManagementClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Alert/2016-05-01/swagger.json
InfrastructureInsightsManagem1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-InfrastructureInsights/2016-05-01/swagger.json
InfrastructureInsightsManagem2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-RegionHealth/2016-05-01/swagger.json
InfrastructureInsightsManagem3;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-ResourceHealth/2016-05-01/swagger.json
InfrastructureInsightsManagem4;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-ServiceHealth/2016-05-01/swagger.json
NetworkAdminManagementClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-LoadBalancers/2015-06-15/swagger.json
NetworkAdminManagementClient1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Network/2015-06-15/swagger.json
NetworkAdminManagementClient2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-PublicIpAddresses/2015-06-15/swagger.json
NetworkAdminManagementClient3;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-VirtualNetworks/2015-06-15/swagger.json
Compute Admin Client;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Compute/2015-12-01-preview/swagger.json
Compute Admin Client1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-PlatformImages/2015-12-01-preview/swagger.json
Compute Admin Client2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Quotas/2018-02-09/swagger.json
Compute Admin Client3;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-VMExtensions/2015-12-01-preview/swagger.json
SubscriptionClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Offer/2015-11-01/swagger.json
SubscriptionClient1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Subscriptions/2015-11-01/swagger.json
SubscriptionClient2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/resources-subscriptions/2019-11-01/swagger.json
SubscriptionClient3;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/subscription-operations/2018-03-01-preview/swagger.json
SubscriptionClient4;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/subscription-subscriptions/2020-01-01/swagger.json
UpdateAdminClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Update/2016-05-01/swagger.json
UpdateAdminClient1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-UpdateLocations/2016-05-01/swagger.json
UpdateAdminClient2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-UpdateRuns/2016-05-01/swagger.json
StorageManagementClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-acquisitions/2019-08-08-preview/swagger.json
StorageManagementClient1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-blobServices/2015-12-01-preview/swagger.json
StorageManagementClient2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-containers/2015-12-01-preview/swagger.json
StorageManagementClient3;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-farms/2015-12-01-preview/swagger.json
StorageManagementClient4;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-queueServices/2015-12-01-preview/swagger.json
StorageManagementClient5;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-quotas/2019-08-08-preview/swagger.json
